"filename", "language", "Markdown", "YAML", "pip requirements", "Shell Script", "TypeScript", "Python", "TypeScript JSX", "Docker", "Properties", "JSON with Comments", "JSON", "Ignore", "PostCSS", "Ini", "HTML", "comment", "blank", "total"
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/group.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 22
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/race.py", "Python", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 57
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/raceday.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/regatta.py", "Python", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/session.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 25
"/Users/federico/Documents/Personal-DEV/core/backend/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/federico/Documents/Personal-DEV/core/backend/services/course.py", "Python", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 159
"/Users/federico/Documents/Personal-DEV/core/backend/services/geo.py", "Python", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 85
"/Users/federico/Documents/Personal-DEV/core/backend/services/gpx.py", "Python", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 71
"/Users/federico/Documents/Personal-DEV/core/backend/storage/__init__.py", "Python", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 38
